plan_id,case_id,feature_id,method,feature_name,material,recognized_geometry,selected_tool_or_holder,operation_sequence,cutting_parameters,manufacturing_reasoning_notes,plan_text,cam_pass,expert_acceptable,initial_graph_violation,final_unresolved_failure
F08_C04_vanilla,F08_C04,F08,Vanilla MLLM,asymmetric drafted plane,Inconel 718,35° asymmetric inclined wall,default cavity tool,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F08_C04 (asymmetric drafted plane), the Vanilla MLLM plan selects default cavity tool; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. Potential issues recorded: graph-constraint violation; overcut risk.",No,No,Yes,No
F08_C04_rag,F08_C04,F08,RAG-based Planner,asymmetric drafted plane,Inconel 718,35° asymmetric inclined wall,tapered ball-end mill,retrieved template: 5-axis fixed contour; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F08_C04 (asymmetric drafted plane), the RAG-based Planner plan selects tapered ball-end mill; proposes retrieved template: 5-axis fixed contour; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. Potential issues recorded: expert hard veto; graph-constraint violation; holder collision risk; tool-workpiece interference risk.",No,No,Yes,Yes
F08_C04_react,F08_C04,F08,Standard ReAct Agent,asymmetric drafted plane,Inconel 718,35° asymmetric inclined wall,nearby catalog tool,stepwise reasoning route: 5-axis fixed contour with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F08_C04 (asymmetric drafted plane), the Standard ReAct Agent plan selects nearby catalog tool; proposes stepwise reasoning route: 5-axis fixed contour with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. Potential issues recorded: expert hard veto; graph-constraint violation; holder collision risk.",No,No,Yes,No
F08_C04_kgmcf,F08_C04,F08,KGMCF (Ours),asymmetric drafted plane,Inconel 718,35° asymmetric inclined wall,tapered ball-end mill,Aero-MPKG-grounded route: 5-axis fixed contour with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F08_C04 (asymmetric drafted plane), the KGMCF (Ours) plan selects tapered ball-end mill; proposes Aero-MPKG-grounded route: 5-axis fixed contour with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F08_C05_vanilla,F08_C05,F08,Vanilla MLLM,asymmetric drafted plane,Inconel 718,35° asymmetric inclined wall,default cavity tool,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F08_C05 (asymmetric drafted plane), the Vanilla MLLM plan selects default cavity tool; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. Potential issues recorded: expert hard veto; overcut risk; tool-workpiece interference risk.",No,No,No,No
F08_C05_rag,F08_C05,F08,RAG-based Planner,asymmetric drafted plane,Inconel 718,35° asymmetric inclined wall,retrieved similar standard tool,retrieved template: 5-axis fixed contour; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F08_C05 (asymmetric drafted plane), the RAG-based Planner plan selects retrieved similar standard tool; proposes retrieved template: 5-axis fixed contour; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. Potential issues recorded: graph-constraint violation.",No,No,Yes,Yes
F08_C05_react,F08_C05,F08,Standard ReAct Agent,asymmetric drafted plane,Inconel 718,35° asymmetric inclined wall,tapered ball-end mill,stepwise reasoning route: 5-axis fixed contour with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F08_C05 (asymmetric drafted plane), the Standard ReAct Agent plan selects tapered ball-end mill; proposes stepwise reasoning route: 5-axis fixed contour with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F08_C05_kgmcf,F08_C05,F08,KGMCF (Ours),asymmetric drafted plane,Inconel 718,35° asymmetric inclined wall,tapered ball-end mill,Aero-MPKG-grounded route: 5-axis fixed contour with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F08_C05 (asymmetric drafted plane), the KGMCF (Ours) plan selects tapered ball-end mill; proposes Aero-MPKG-grounded route: 5-axis fixed contour with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F09_C01_vanilla,F09_C01,F09,Vanilla MLLM,semi-closed annular groove,Ti-6Al-4V,semi-closed annular groove,standard end mill,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F09_C01 (semi-closed annular groove), the Vanilla MLLM plan selects standard end mill; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. Potential issues recorded: expert hard veto; holder collision risk; overcut risk; tool-workpiece interference risk.",No,No,No,No
F09_C01_rag,F09_C01,F09,RAG-based Planner,semi-closed annular groove,Ti-6Al-4V,semi-closed annular groove,small-radius profile tool,retrieved template: profile milling; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F09_C01 (semi-closed annular groove), the RAG-based Planner plan selects small-radius profile tool; proposes retrieved template: profile milling; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F09_C01_react,F09_C01,F09,Standard ReAct Agent,semi-closed annular groove,Ti-6Al-4V,semi-closed annular groove,nearby catalog tool,stepwise reasoning route: profile milling with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F09_C01 (semi-closed annular groove), the Standard ReAct Agent plan selects nearby catalog tool; proposes stepwise reasoning route: profile milling with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F09_C01_kgmcf,F09_C01,F09,KGMCF (Ours),semi-closed annular groove,Ti-6Al-4V,semi-closed annular groove,small-radius profile tool,Aero-MPKG-grounded route: profile milling with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F09_C01 (semi-closed annular groove), the KGMCF (Ours) plan selects small-radius profile tool; proposes Aero-MPKG-grounded route: profile milling with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F09_C02_vanilla,F09_C02,F09,Vanilla MLLM,semi-closed annular groove,Ti-6Al-4V,semi-closed annular groove,oversized boring bar,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F09_C02 (semi-closed annular groove), the Vanilla MLLM plan selects oversized boring bar; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. Potential issues recorded: expert hard veto; overcut risk; tool-workpiece interference risk.",No,No,No,No
F09_C02_rag,F09_C02,F09,RAG-based Planner,semi-closed annular groove,Ti-6Al-4V,semi-closed annular groove,retrieved similar standard tool,retrieved template: profile milling; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F09_C02 (semi-closed annular groove), the RAG-based Planner plan selects retrieved similar standard tool; proposes retrieved template: profile milling; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. Potential issues recorded: graph-constraint violation; tool-workpiece interference risk.",No,No,Yes,Yes
F09_C02_react,F09_C02,F09,Standard ReAct Agent,semi-closed annular groove,Ti-6Al-4V,semi-closed annular groove,small-radius profile tool,stepwise reasoning route: profile milling with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F09_C02 (semi-closed annular groove), the Standard ReAct Agent plan selects small-radius profile tool; proposes stepwise reasoning route: profile milling with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F09_C02_kgmcf,F09_C02,F09,KGMCF (Ours),semi-closed annular groove,Ti-6Al-4V,semi-closed annular groove,small-radius profile tool,Aero-MPKG-grounded route: profile milling with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F09_C02 (semi-closed annular groove), the KGMCF (Ours) plan selects small-radius profile tool; proposes Aero-MPKG-grounded route: profile milling with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F09_C03_vanilla,F09_C03,F09,Vanilla MLLM,semi-closed annular groove,Ti-6Al-4V,semi-closed annular groove,default cavity tool,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F09_C03 (semi-closed annular groove), the Vanilla MLLM plan selects default cavity tool; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. No major manufacturability risk identified in the aligned validation records.",Yes,No,No,No
F09_C03_rag,F09_C03,F09,RAG-based Planner,semi-closed annular groove,Ti-6Al-4V,semi-closed annular groove,retrieved similar standard tool,retrieved template: profile milling; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F09_C03 (semi-closed annular groove), the RAG-based Planner plan selects retrieved similar standard tool; proposes retrieved template: profile milling; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F09_C03_react,F09_C03,F09,Standard ReAct Agent,semi-closed annular groove,Ti-6Al-4V,semi-closed annular groove,small-radius profile tool,stepwise reasoning route: profile milling with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F09_C03 (semi-closed annular groove), the Standard ReAct Agent plan selects small-radius profile tool; proposes stepwise reasoning route: profile milling with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. Potential issues recorded: expert hard veto; graph-constraint violation; overcut risk.",No,No,Yes,No
F09_C03_kgmcf,F09_C03,F09,KGMCF (Ours),semi-closed annular groove,Ti-6Al-4V,semi-closed annular groove,small-radius profile tool,Aero-MPKG-grounded route: profile milling with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F09_C03 (semi-closed annular groove), the KGMCF (Ours) plan selects small-radius profile tool; proposes Aero-MPKG-grounded route: profile milling with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F09_C04_vanilla,F09_C04,F09,Vanilla MLLM,semi-closed annular groove,Ti-6Al-4V,semi-closed annular groove,oversized boring bar,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F09_C04 (semi-closed annular groove), the Vanilla MLLM plan selects oversized boring bar; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. No major manufacturability risk identified in the aligned validation records.",No,No,No,No
F09_C04_rag,F09_C04,F09,RAG-based Planner,semi-closed annular groove,Ti-6Al-4V,semi-closed annular groove,small-radius profile tool,retrieved template: profile milling; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F09_C04 (semi-closed annular groove), the RAG-based Planner plan selects small-radius profile tool; proposes retrieved template: profile milling; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. Potential issues recorded: expert hard veto; graph-constraint violation; invalid CAM generation.",No,No,Yes,Yes
F09_C04_react,F09_C04,F09,Standard ReAct Agent,semi-closed annular groove,Ti-6Al-4V,semi-closed annular groove,small-radius profile tool,stepwise reasoning route: profile milling with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F09_C04 (semi-closed annular groove), the Standard ReAct Agent plan selects small-radius profile tool; proposes stepwise reasoning route: profile milling with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F09_C04_kgmcf,F09_C04,F09,KGMCF (Ours),semi-closed annular groove,Ti-6Al-4V,semi-closed annular groove,small-radius profile tool,Aero-MPKG-grounded route: profile milling with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F09_C04 (semi-closed annular groove), the KGMCF (Ours) plan selects small-radius profile tool; proposes Aero-MPKG-grounded route: profile milling with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F09_C05_vanilla,F09_C05,F09,Vanilla MLLM,semi-closed annular groove,Ti-6Al-4V,semi-closed annular groove,generic ball-end tool,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F09_C05 (semi-closed annular groove), the Vanilla MLLM plan selects generic ball-end tool; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F09_C05_rag,F09_C05,F09,RAG-based Planner,semi-closed annular groove,Ti-6Al-4V,semi-closed annular groove,small-radius profile tool,retrieved template: profile milling; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F09_C05 (semi-closed annular groove), the RAG-based Planner plan selects small-radius profile tool; proposes retrieved template: profile milling; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F09_C05_react,F09_C05,F09,Standard ReAct Agent,semi-closed annular groove,Ti-6Al-4V,semi-closed annular groove,small-radius profile tool,stepwise reasoning route: profile milling with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F09_C05 (semi-closed annular groove), the Standard ReAct Agent plan selects small-radius profile tool; proposes stepwise reasoning route: profile milling with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F09_C05_kgmcf,F09_C05,F09,KGMCF (Ours),semi-closed annular groove,Ti-6Al-4V,semi-closed annular groove,small-radius profile tool,Aero-MPKG-grounded route: profile milling with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F09_C05 (semi-closed annular groove), the KGMCF (Ours) plan selects small-radius profile tool; proposes Aero-MPKG-grounded route: profile milling with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F10_C01_vanilla,F10_C01,F10,Vanilla MLLM,micro corner transition,7075-Al,small transition radius with overcut risk,default cavity tool,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F10_C01 (micro corner transition), the Vanilla MLLM plan selects default cavity tool; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F10_C01_rag,F10_C01,F10,RAG-based Planner,micro corner transition,7075-Al,small transition radius with overcut risk,R0.8 ball-end mill,retrieved template: rest machining; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F10_C01 (micro corner transition), the RAG-based Planner plan selects R0.8 ball-end mill; proposes retrieved template: rest machining; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F10_C01_react,F10_C01,F10,Standard ReAct Agent,micro corner transition,7075-Al,small transition radius with overcut risk,R0.8 ball-end mill,stepwise reasoning route: rest machining with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F10_C01 (micro corner transition), the Standard ReAct Agent plan selects R0.8 ball-end mill; proposes stepwise reasoning route: rest machining with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F10_C01_kgmcf,F10_C01,F10,KGMCF (Ours),micro corner transition,7075-Al,small transition radius with overcut risk,R0.8 ball-end mill,Aero-MPKG-grounded route: rest machining with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F10_C01 (micro corner transition), the KGMCF (Ours) plan selects R0.8 ball-end mill; proposes Aero-MPKG-grounded route: rest machining with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F10_C02_vanilla,F10_C02,F10,Vanilla MLLM,micro corner transition,7075-Al,small transition radius with overcut risk,oversized boring bar,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F10_C02 (micro corner transition), the Vanilla MLLM plan selects oversized boring bar; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. Potential issues recorded: expert hard veto; holder collision risk; invalid CAM generation; tool-workpiece interference risk.",No,No,No,No
F10_C02_rag,F10_C02,F10,RAG-based Planner,micro corner transition,7075-Al,small transition radius with overcut risk,retrieved similar standard tool,retrieved template: rest machining; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F10_C02 (micro corner transition), the RAG-based Planner plan selects retrieved similar standard tool; proposes retrieved template: rest machining; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F10_C02_react,F10_C02,F10,Standard ReAct Agent,micro corner transition,7075-Al,small transition radius with overcut risk,nearby catalog tool,stepwise reasoning route: rest machining with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F10_C02 (micro corner transition), the Standard ReAct Agent plan selects nearby catalog tool; proposes stepwise reasoning route: rest machining with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F10_C02_kgmcf,F10_C02,F10,KGMCF (Ours),micro corner transition,7075-Al,small transition radius with overcut risk,R0.8 ball-end mill,Aero-MPKG-grounded route: rest machining with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F10_C02 (micro corner transition), the KGMCF (Ours) plan selects R0.8 ball-end mill; proposes Aero-MPKG-grounded route: rest machining with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F10_C03_vanilla,F10_C03,F10,Vanilla MLLM,micro corner transition,7075-Al,small transition radius with overcut risk,standard end mill,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F10_C03 (micro corner transition), the Vanilla MLLM plan selects standard end mill; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. No major manufacturability risk identified in the aligned validation records.",Yes,No,No,No
F10_C03_rag,F10_C03,F10,RAG-based Planner,micro corner transition,7075-Al,small transition radius with overcut risk,R0.8 ball-end mill,retrieved template: rest machining; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F10_C03 (micro corner transition), the RAG-based Planner plan selects R0.8 ball-end mill; proposes retrieved template: rest machining; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F10_C03_react,F10_C03,F10,Standard ReAct Agent,micro corner transition,7075-Al,small transition radius with overcut risk,R0.8 ball-end mill,stepwise reasoning route: rest machining with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F10_C03 (micro corner transition), the Standard ReAct Agent plan selects R0.8 ball-end mill; proposes stepwise reasoning route: rest machining with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F10_C03_kgmcf,F10_C03,F10,KGMCF (Ours),micro corner transition,7075-Al,small transition radius with overcut risk,R0.8 ball-end mill,Aero-MPKG-grounded route: rest machining with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F10_C03 (micro corner transition), the KGMCF (Ours) plan selects R0.8 ball-end mill; proposes Aero-MPKG-grounded route: rest machining with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F10_C04_vanilla,F10_C04,F10,Vanilla MLLM,micro corner transition,7075-Al,small transition radius with overcut risk,oversized boring bar,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F10_C04 (micro corner transition), the Vanilla MLLM plan selects oversized boring bar; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. No major manufacturability risk identified in the aligned validation records.",Yes,No,No,No
F10_C04_rag,F10_C04,F10,RAG-based Planner,micro corner transition,7075-Al,small transition radius with overcut risk,R0.8 ball-end mill,retrieved template: rest machining; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F10_C04 (micro corner transition), the RAG-based Planner plan selects R0.8 ball-end mill; proposes retrieved template: rest machining; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. Potential issues recorded: expert hard veto; overcut risk; tool-workpiece interference risk.",No,No,No,No
F10_C04_react,F10_C04,F10,Standard ReAct Agent,micro corner transition,7075-Al,small transition radius with overcut risk,R0.8 ball-end mill,stepwise reasoning route: rest machining with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F10_C04 (micro corner transition), the Standard ReAct Agent plan selects R0.8 ball-end mill; proposes stepwise reasoning route: rest machining with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,No,No,No
F10_C04_kgmcf,F10_C04,F10,KGMCF (Ours),micro corner transition,7075-Al,small transition radius with overcut risk,R0.8 ball-end mill,Aero-MPKG-grounded route: rest machining with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F10_C04 (micro corner transition), the KGMCF (Ours) plan selects R0.8 ball-end mill; proposes Aero-MPKG-grounded route: rest machining with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F10_C05_vanilla,F10_C05,F10,Vanilla MLLM,micro corner transition,7075-Al,small transition radius with overcut risk,standard end mill,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F10_C05 (micro corner transition), the Vanilla MLLM plan selects standard end mill; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F10_C05_rag,F10_C05,F10,RAG-based Planner,micro corner transition,7075-Al,small transition radius with overcut risk,R0.8 ball-end mill,retrieved template: rest machining; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F10_C05 (micro corner transition), the RAG-based Planner plan selects R0.8 ball-end mill; proposes retrieved template: rest machining; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. Potential issues recorded: invalid CAM generation; tool-workpiece interference risk.",No,No,No,No
F10_C05_react,F10_C05,F10,Standard ReAct Agent,micro corner transition,7075-Al,small transition radius with overcut risk,R0.8 ball-end mill,stepwise reasoning route: rest machining with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F10_C05 (micro corner transition), the Standard ReAct Agent plan selects R0.8 ball-end mill; proposes stepwise reasoning route: rest machining with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
